연월,실거래가지수,,,,,,,,,
2015년 1월,79.778,,,,,,,,,
2015년 2월,80.416,,,,,,,,,
2015년 3월,81.332,,,,,,,,,
2015년 4월,82.054,,,,,,,,,
2015년 5월,82.675,,,,,,,,,
2015년 6월,83.129,,,,,,,,,
2015년 7월,84.136,,,,,,,,,
2015년 8월,84.839,,,,,,,,,
2015년 9월,85.414,,,,,,,,,
2015년 10월,85.997,,,,,,,,,
2015년 11월,86.256,,,,,,,,,
2015년 12월,85.745,,,,,,,,,
2016년 1월,85.633,,,,,,,,,
2016년 2월,85.74,,,,,,,,,
2016년 3월,85.861,,,,,,,,,
2016년 4월,86.257,,,,,,,,,
2016년 5월,86.777,,,,,,,,,
2016년 6월,87.829,,,,,,,,,
2016년 7월,89.182,,,,,,,,,
2016년 8월,90.264,,,,,,,,,
2016년 9월,91.419,,,,,,,,,
2016년 10월,92.472,,,,,,,,,
2016년 11월,92.498,,,,,,,,,
2016년 12월,91.814,,,,,,,,,
2017년 1월,91.564,,,,,,,,,
2017년 2월,91.719,,,,,,,,,
2017년 3월,92.339,,,,,,,,,
2017년 4월,92.558,,,,,,,,,
2017년 5월,93.843,,,,,,,,,
2017년 6월,95.564,,,,,,,,,
2017년 7월,97.856,,,,,,,,,
2017년 8월,98.164,,,,,,,,,
2017년 9월,98.555,,,,,,,,,
2017년 10월,99.524,,,,,,,,,
2017년 11월,100,,,,,,,,,
2017년 12월,100.895,,,,,,,,,
2018년 1월,102.944,,,,,,,,,
2018년 2월,104.851,,,,,,,,,
2018년 3월,106.049,,,,,,,,,
2018년 4월,107.603,,,,,,,,,
2018년 5월,108.001,,,,,,,,,
2018년 6월,108.694,,,,,,,,,
2018년 7월,110.123,,,,,,,,,
2018년 8월,114.662,,,,,,,,,
2018년 9월,121.07,,,,,,,,,
2018년 10월,122.136,,,,,,,,,
2018년 11월,120.331,,,,,,,,,
2018년 12월,118.898,,,,,,,,,
2019년 1월,117.662,,,,,,,,,
2019년 2월,116.631,,,,,,,,,
2019년 3월,115.451,,,,,,,,,
2019년 4월,115.447,,,,,,,,,
2019년 5월,116.422,,,,,,,,,
2019년 6월,118.829,,,,,,,,,
2019년 7월,121.25,,,,,,,,,
2019년 8월,122.84,,,,,,,,,
2019년 9월,124.176,,,,,,,,,
2019년 10월,126.017,,,,,,,,,
2019년 11월,128.354,,,,,,,,,
2019년 12월,130.375,,,,,,,,,
